stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
5.56,1.0,1.0,112.0,215313504.0,1962.0,94.0492332781054
11.11,2.0,1.0,112.0,215313504.0,1962.0,
11.11,2.0,1.0,112.0,215313504.0,1962.0,
11.11,2.0,1.0,112.0,215313504.0,1962.0,
11.11,2.0,1.0,112.0,215313504.0,1962.0,
11.11,3.0,1.0,112.0,215313504.0,1962.0,
11.11,8.0,1.0,112.0,215313504.0,1962.0,
11.11,13.0,1.0,112.0,215313504.0,1962.0,
11.11,19.0,1.0,112.0,215313504.0,1962.0,
11.11,25.0,1.0,112.0,215313504.0,1962.0,
11.11,25.0,1.0,112.0,215313504.0,1962.0,
28.7,34.0,1.0,112.0,215313504.0,1962.0,
37.96,60.0,1.0,112.0,215313504.0,1962.0,
42.13,77.0,1.0,112.0,215313504.0,1962.0,
42.13,84.0,1.0,112.0,215313504.0,1962.0,
42.13,121.0,1.0,112.0,215313504.0,1962.0,
57.87,200.0,1.0,112.0,215313504.0,1962.0,
60.65,234.0,1.0,112.0,215313504.0,1962.0,
66.2,291.0,1.0,112.0,215313504.0,1962.0,
66.2,428.0,4.0,112.0,215313504.0,1962.0,
71.76,428.0,4.0,112.0,215313504.0,1962.0,
71.76,904.0,11.0,112.0,215313504.0,1962.0,
71.76,904.0,11.0,112.0,215313504.0,1962.0,
71.76,1546.0,25.0,112.0,215313504.0,1962.0,
71.76,1891.0,34.0,112.0,215313504.0,1962.0,
71.76,2201.0,46.0,112.0,215313504.0,1962.0,
74.54,2433.0,57.0,112.0,215313504.0,1962.0,
74.54,2915.0,77.0,112.0,215313504.0,1962.0,
74.54,3417.0,92.0,112.0,215313504.0,1962.0,
74.54,3903.0,114.0,112.0,215313504.0,1962.0,
74.54,4256.0,136.0,112.0,215313504.0,1962.0,
74.54,4579.0,159.0,112.0,215313504.0,1962.0,92.5226567284697
74.54,5717.0,201.0,112.0,215313504.0,1962.0,
74.54,6836.0,241.0,112.0,215313504.0,1962.0,
74.54,7910.0,299.0,112.0,215313504.0,1962.0,
74.54,9056.0,359.0,112.0,215313504.0,1962.0,
74.54,10278.0,432.0,112.0,215313504.0,1962.0,
74.54,11130.0,486.0,112.0,215313504.0,1962.0,
74.54,12056.0,553.0,112.0,215313504.0,1962.0,
74.54,13717.0,667.0,112.0,215313504.0,1962.0,
74.54,15927.0,800.0,112.0,215313504.0,1962.0,
74.54,17857.0,941.0,112.0,215313504.0,1962.0,
74.54,19638.0,1056.0,112.0,215313504.0,1962.0,
74.54,20727.0,1124.0,112.0,215313504.0,1962.0,
74.54,22169.0,1223.0,112.0,215313504.0,1962.0,
74.54,23430.0,1328.0,112.0,215313504.0,1962.0,
74.54,25262.0,1532.0,112.0,215313504.0,1962.0,
74.54,28320.0,1736.0,112.0,215313504.0,1962.0,
74.54,30425.0,1924.0,112.0,215313504.0,1962.0,
74.54,33682.0,2141.0,112.0,215313504.0,1962.0,
74.54,36599.0,2347.0,112.0,215313504.0,1962.0,
74.54,38654.0,2462.0,112.0,215313504.0,1962.0,
74.54,40581.0,2575.0,112.0,215313504.0,1962.0,
74.54,43079.0,2741.0,112.0,215313504.0,1962.0,
74.54,45757.0,2906.0,112.0,215313504.0,1962.0,
74.54,49492.0,3313.0,112.0,215313504.0,1962.0,
77.31,52995.0,3670.0,112.0,215313504.0,1962.0,
77.31,58509.0,4016.0,112.0,215313504.0,1962.0,
77.31,61888.0,4205.0,112.0,215313504.0,1962.0,
77.31,66501.0,4543.0,112.0,215313504.0,1962.0,
77.31,71886.0,5017.0,112.0,215313504.0,1962.0,
77.31,78162.0,5466.0,112.0,215313504.0,1962.0,91.7406432637526
77.31,85380.0,5901.0,112.0,215313504.0,1962.0,
77.31,91589.0,6329.0,112.0,215313504.0,1962.0,
77.31,96559.0,6750.0,112.0,215313504.0,1962.0,
81.02,101147.0,7025.0,112.0,215313504.0,1962.0,
81.02,107780.0,7321.0,112.0,215313504.0,1962.0,
81.02,114715.0,7921.0,112.0,215313504.0,1962.0,
81.02,125218.0,8536.0,112.0,215313504.0,1962.0,
81.02,135106.0,9146.0,112.0,215313504.0,1962.0,
81.02,145328.0,9897.0,112.0,215313504.0,1962.0,
81.02,155939.0,10627.0,112.0,215313504.0,1962.0,
81.02,162699.0,11123.0,112.0,215313504.0,1962.0,
81.02,168331.0,11519.0,112.0,215313504.0,1962.0,
81.02,177589.0,12400.0,112.0,215313504.0,1962.0,
81.02,188974.0,13149.0,112.0,215313504.0,1962.0,
81.02,202918.0,13993.0,112.0,215313504.0,1962.0,
81.02,218223.0,14817.0,112.0,215313504.0,1962.0,
81.02,233142.0,15633.0,112.0,215313504.0,1962.0,
81.02,241080.0,16118.0,112.0,215313504.0,1962.0,
81.02,254220.0,16792.0,112.0,215313504.0,1962.0,
81.02,271628.0,17971.0,112.0,215313504.0,1962.0,
81.02,291579.0,18859.0,112.0,215313504.0,1962.0,
81.02,310087.0,20047.0,112.0,215313504.0,1962.0,
81.02,330890.0,21048.0,112.0,215313504.0,1962.0,
81.02,347398.0,22013.0,112.0,215313504.0,1962.0,
81.02,363211.0,22666.0,112.0,215313504.0,1962.0,
81.02,374898.0,23473.0,112.0,215313504.0,1962.0,
81.02,391222.0,24512.0,112.0,215313504.0,1962.0,
81.02,411821.0,25598.0,112.0,215313504.0,1962.0,
81.02,438238.0,26754.0,112.0,215313504.0,1962.0,
